"book_id","title","publisher_id","category_id","language_id"
55,"New Markets & Other Essays",4,12,46
56,"Freakonomics",4,12,46
13,"Think Complexity",NULL,13,46
14,"Pattern Classification",NULL,13,46
15,"Image Processing with MATLAB",NULL,13,46
18,"Design with OpAmps",NULL,13,46
23,"Neural Networks",NULL,13,46
24,"Data Analysis with Open Source Tools",NULL,13,46
25,"Pointers in C",NULL,13,46
28,"Power Electronics - Mohan",NULL,13,46
32,"Power Electronics - Rashid",NULL,13,46
33,"Cathedral and the Bazaar, The",NULL,13,46
41,"Elements of Information Theory",NULL,13,46
42,"Statistical Learning Theory",NULL,13,46
45,"Men of Mathematics",NULL,13,46
46,"Numbers Behind Numb3rs, The",NULL,13,46
47,"Information, The",NULL,13,46
49,"Code Book, The",NULL,13,46
50,"Simpsons & Their Mathematical Secrets",NULL,13,46
51,"Structure and Randomness",NULL,13,46
43,"Nature of Statistical Learning Theory, The",34,13,46
26,"Let Us C",32,13,46
38,"Data Structures Using C & C++",32,13,46
40,"Principles of Communication Systems",26,13,46
17,"Computer Vision, A Modern Approach",25,13,46
44,"Artist and the Mathematician, The",17,13,46
34,"Image Processing & Mathematical Morphology",13,13,46
16,"Data Smart",10,13,46
19,"Fundamentals of Wavelets",10,13,46
52,"Birth of a Theorem",9,13,46
21,"Data Scientists at Work",8,13,46
29,"Data Mining Handbook",8,13,46
20,"Soft Computing & Intelligent Systems",7,13,46
12,"Introduction to Algorithms",6,13,46
31,"Statistical Decision Theory'",6,13,46
36,"Structure & Interpretation of Computer Programs",6,13,46
39,"Analysis, Vol I",5,13,46
22,"God Created the Integers",4,13,46
35,"Signal and the Noise, The",4,13,46
48,"Drunkard's Walk, The",4,13,46
10,"Learning OpenCV",3,13,46
11,"Machine Learning for Hackers",3,13,46
27,"Python for Data Analysis",3,13,46
30,"Making Software",3,13,46
4,"Oxford book of Modern Science Writing",NULL,14,46
8,"Broca's Brain",NULL,14,46
9,"World's Great Thinkers, The",NULL,14,46
6,"Theory of Everything, The",29,14,46
2,"Hidden Connections, The",23,14,46
5,"Surely You're Joking Mr Feynman",22,14,46
1,"Electric Universe",4,14,46
3,"Tao of Physics, The",4,14,46
7,"Physics & Philosophy",4,14,46
191,"On Education",33,16,46
192,"Beyond Degrees",23,16,46
