"address_id","address","postal_code","city_id"
254,NULL,NULL,2548
255,NULL,NULL,2552
256,NULL,NULL,2556
257,NULL,NULL,2561
258,NULL,NULL,2574
259,NULL,NULL,2576
260,NULL,NULL,2578
261,NULL,NULL,2581
262,NULL,NULL,2582
263,NULL,NULL,2586
264,NULL,NULL,2587
265,NULL,NULL,2591
266,NULL,NULL,2603
267,NULL,NULL,2605
268,NULL,NULL,2607
269,NULL,NULL,2618
270,NULL,NULL,2641
271,NULL,NULL,2647
272,NULL,NULL,2649
273,NULL,NULL,2659
274,NULL,NULL,2660
275,NULL,NULL,2667
276,NULL,NULL,2670
277,NULL,NULL,2674
278,NULL,NULL,2702
279,NULL,NULL,2720
280,NULL,NULL,2724
281,NULL,NULL,2731
282,NULL,NULL,2761
283,NULL,NULL,2763
284,NULL,NULL,2787
285,NULL,NULL,2794
286,NULL,NULL,2805
287,NULL,NULL,2812
288,NULL,NULL,2815
289,NULL,NULL,2829
290,NULL,NULL,2845
291,NULL,NULL,2856
292,NULL,NULL,2862
293,NULL,NULL,2876
294,NULL,NULL,2888
295,NULL,NULL,2895
296,NULL,NULL,2903
297,NULL,NULL,2914
298,NULL,NULL,2920
299,NULL,NULL,2923
300,NULL,NULL,2944
301,NULL,NULL,2953
302,NULL,NULL,2957
303,NULL,NULL,3008
304,NULL,NULL,3036
305,NULL,NULL,3037
306,NULL,NULL,3038
307,NULL,NULL,3039
308,NULL,NULL,3044
309,NULL,NULL,3046
310,NULL,NULL,3047
311,NULL,NULL,3060
312,NULL,NULL,3080
313,NULL,NULL,3085
314,NULL,NULL,3092
315,NULL,NULL,3095
316,NULL,NULL,3100
317,NULL,NULL,3102
318,NULL,NULL,3108
319,NULL,NULL,3115
320,NULL,NULL,3122
321,NULL,NULL,3123
322,NULL,NULL,3148
323,NULL,NULL,3150
324,NULL,NULL,3151
325,NULL,NULL,3152
326,NULL,NULL,3168
327,NULL,NULL,3175
328,NULL,NULL,3178
329,NULL,NULL,3181
330,NULL,NULL,3187
331,NULL,NULL,3190
332,NULL,NULL,3198
333,NULL,NULL,3222
334,NULL,NULL,3231
335,NULL,NULL,3239
336,NULL,NULL,3267
337,NULL,NULL,3268
338,NULL,NULL,3283
339,NULL,NULL,3307
340,NULL,NULL,3310
341,NULL,NULL,3331
342,NULL,NULL,3332
343,NULL,NULL,3343
344,NULL,NULL,3349
345,NULL,NULL,3356
346,NULL,NULL,3373
347,NULL,NULL,3377
348,NULL,NULL,3378
349,NULL,NULL,3387
350,NULL,NULL,3393
351,NULL,NULL,3395
352,NULL,NULL,3402
353,NULL,NULL,3423
354,NULL,NULL,3425
355,NULL,NULL,3426
356,NULL,NULL,3439
357,NULL,NULL,3440
358,NULL,NULL,3441
359,NULL,NULL,3442
360,NULL,NULL,3449
361,NULL,NULL,3487
362,NULL,NULL,3488
363,NULL,NULL,3498
364,NULL,NULL,3502
365,NULL,NULL,3517
366,NULL,NULL,3539
367,NULL,NULL,3560
368,NULL,NULL,3572
369,NULL,NULL,3597
370,NULL,NULL,3621
371,NULL,NULL,3624
372,NULL,NULL,3625
373,NULL,NULL,3635
374,NULL,NULL,3646
375,NULL,NULL,3654
376,NULL,NULL,3655
377,NULL,NULL,3667
378,NULL,NULL,3672
379,NULL,NULL,3680
380,NULL,NULL,3683
381,NULL,NULL,3689
382,NULL,NULL,3696
383,NULL,NULL,3699
384,NULL,NULL,3703
385,NULL,NULL,3726
386,NULL,NULL,3728
387,NULL,NULL,3744
388,NULL,NULL,3754
389,NULL,NULL,3755
390,NULL,NULL,3759
391,NULL,NULL,3760
392,NULL,NULL,3773
393,NULL,NULL,3783
394,NULL,NULL,3789
395,NULL,NULL,3811
396,NULL,NULL,3845
397,NULL,NULL,3853
398,NULL,NULL,3868
399,NULL,NULL,3871
